CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.0, test_acc 34.89
CUB200, seed 3, 2 shot, weight 10.36632928437698, test_acc 34.83
CUB200, seed 1, 4 shot, weight 10.0, test_acc 45.96
CUB200, seed 1, 4 shot, weight 100.0, test_acc 45.87
CUB200, seed 1, 4 shot, weight 31.622776601683796, test_acc 45.96
CUB200, seed 1, 4 shot, weight 31.622776601683796, test_acc 45.96
CUB200, seed 1, 4 shot, weight 42.169650342858226, test_acc 46.15
CUB200, seed 1, 4 shot, weight 42.169650342858226, test_acc 46.15
CUB200, seed 1, 4 shot, weight 42.169650342858226, test_acc 46.15
CUB200, seed 1, 4 shot, weight 40.67944321083047, test_acc 46.13
CUB200, seed 2, 4 shot, weight 10.0, test_acc 46.95
CUB200, seed 2, 4 shot, weight 100.0, test_acc 46.78
CUB200, seed 2, 4 shot, weight 100.0, test_acc 46.78
CUB200, seed 2, 4 shot, weight 100.0, test_acc 46.78
CUB200, seed 2, 4 shot, weight 100.0, test_acc 46.78
CUB200, seed 2, 4 shot, weight 86.59643233600653, test_acc 46.61
CUB200, seed 2, 4 shot, weight 86.59643233600653, test_acc 46.61
CUB200, seed 2, 4 shot, weight 86.59643233600653, test_acc 46.61
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.0, test_acc 46.04
CUB200, seed 3, 4 shot, weight 10.746078283213174, test_acc 46.13
CUB200, seed 3, 4 shot, weight 10.746078283213174, test_acc 46.13
CUB200, seed 1, 8 shot, weight 10.0, test_acc 55.61
CUB200, seed 1, 8 shot, weight 10.0, test_acc 55.61
CUB200, seed 1, 8 shot, weight 31.622776601683796, test_acc 55.55
CUB200, seed 1, 8 shot, weight 31.622776601683796, test_acc 55.55
CUB200, seed 1, 8 shot, weight 23.71373705661655, test_acc 55.44
CUB200, seed 1, 8 shot, weight 23.71373705661655, test_acc 55.44
CUB200, seed 1, 8 shot, weight 23.71373705661655, test_acc 55.44
CUB200, seed 1, 8 shot, weight 24.582440689201974, test_acc 55.35
CUB200, seed 2, 8 shot, weight 10.0, test_acc 57.22
CUB200, seed 2, 8 shot, weight 10.0, test_acc 57.22
CUB200, seed 2, 8 shot, weight 10.0, test_acc 57.22
CUB200, seed 2, 8 shot, weight 10.0, test_acc 57.22
CUB200, seed 2, 8 shot, weight 13.33521432163324, test_acc 56.91
CUB200, seed 2, 8 shot, weight 13.33521432163324, test_acc 56.91
CUB200, seed 2, 8 shot, weight 13.33521432163324, test_acc 56.91
CUB200, seed 2, 8 shot, weight 12.863969449369744, test_acc 57.14
CUB200, seed 3, 8 shot, weight 10.0, test_acc 55.69
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 3, 8 shot, weight 100.0, test_acc 55.04
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.43
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.43
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.43
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.43
CUB200, seed 2, 16 shot, weight 13.33521432163324, test_acc 64.94
CUB200, seed 2, 16 shot, weight 13.33521432163324, test_acc 64.94
CUB200, seed 2, 16 shot, weight 13.33521432163324, test_acc 64.94
CUB200, seed 2, 16 shot, weight 12.863969449369744, test_acc 65.03
CUB200, seed 3, 16 shot, weight 10.0, test_acc 64.72
CUB200, seed 3, 16 shot, weight 100.0, test_acc 64.09
CUB200, seed 3, 16 shot, weight 100.0, test_acc 64.09
CUB200, seed 3, 16 shot, weight 100.0, test_acc 64.09
CUB200, seed 3, 16 shot, weight 74.98942093324558, test_acc 63.55
CUB200, seed 3, 16 shot, weight 74.98942093324558, test_acc 63.55
CUB200, seed 3, 16 shot, weight 74.98942093324558, test_acc 63.55
CUB200, seed 3, 16 shot, weight 74.98942093324558, test_acc 63.55
