CUB200, seed 3, 8 shot, weight 100.0, test_acc 54.87
CUB200, seed 3, 8 shot, weight 100.0, test_acc 54.87
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 1, 16 shot, weight 10.0, test_acc 65.00
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.0, test_acc 65.31
CUB200, seed 2, 16 shot, weight 10.746078283213174, test_acc 65.20
CUB200, seed 2, 16 shot, weight 10.746078283213174, test_acc 65.20
CUB200, seed 3, 16 shot, weight 10.0, test_acc 64.86
CUB200, seed 3, 16 shot, weight 100.0, test_acc 64.24
CUB200, seed 3, 16 shot, weight 31.622776601683796, test_acc 64.18
CUB200, seed 3, 16 shot, weight 31.622776601683796, test_acc 64.18
CUB200, seed 3, 16 shot, weight 31.622776601683796, test_acc 64.18
CUB200, seed 3, 16 shot, weight 31.622776601683796, test_acc 64.18
CUB200, seed 3, 16 shot, weight 31.622776601683796, test_acc 64.18
CUB200, seed 3, 16 shot, weight 32.781211513934586, test_acc 64.15
